
-- Processing timing data ---
---- computed BOLD response envelope (onset=1106.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=90.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=311.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=530.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=875.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1225.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1482.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1768.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=86.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=409.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=633.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=814.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=900.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1076.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1241.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1424.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1809.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=2017.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=147.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=403.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=492.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=680.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1107.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=91.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=312.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=531.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=876.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1226.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1483.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1769.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=87.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=410.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=634.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=815.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=901.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1077.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1242.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1425.1s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=1810.0s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
---- computed BOLD response envelope (onset=2018.2s, duration=3.00s, dt=0.010s, offset=0.930s, th=4.00) -----
